"team","rat","pwr","off","def","hfa","so_s","ssf","ew","el"
"CS Sacramento",5.82,26.62,86.08,16.23,2.87,26.31,26.31,0,0
"Citadel",5.82,24.98,92.62,8.06,2.84,22.86,22.86,0,0
"Charlotte",5.81,26.5,81.34,20.85,2.8,28.71,28.71,0,0
"Col Charleston",5.78,26.39,86.2,15.89,2.77,24.88,24.88,0,0
"Ark Little Rock",5.78,26.16,84.54,17.31,2.77,26.26,26.26,0,0
"Oakland",5.78,25.28,90.86,10.11,2.79,30.49,30.49,0,0
"Long Beach St",5.77,26.3,91.12,10.88,2.77,29.35,29.35,0,0
"W Carolina",5.76,25.53,91.06,10.17,2.76,27.64,27.64,0,0
"Canisius",5.75,24.99,87.24,13.45,2.86,25.72,25.72,0,0
"Campbell",5.75,25.36,83.8,17.25,2.7,21.96,21.96,0,0
"Austin Peay",5.74,26.77,87.44,15.03,2.81,22.43,22.43,0,0
"Arkansas St",5.73,26.31,85.51,16.49,2.86,23.1,23.1,0,0
"Cal Baptist",5.73,25.88,90.43,11.14,2.95,21.7,21.7,0,0
"Ga ",5.71,25.39,84.08,17,2.72,21.18,21.18,0,0
"WI Milwaukee",5.69,25.66,89.43,11.92,2.69,26.69,26.69,0,0
"SUNY Albany",5.68,26.39,86.21,15.87,2.74,25.58,25.58,0,0
"Norfolk St",5.67,24.44,83.5,16.63,2.74,20.57,20.57,0,0
"Idaho St",5.67,24.61,80.5,19.8,2.8,18.87,18.87,0,0
"North Dakota",5.66,24.31,86.04,13.97,2.78,30.11,30.11,0,0
"Southern Miss",5.65,25.71,81.65,19.75,2.82,27.94,27.94,0,0
"Lipscomb",5.65,24.65,85.29,15.05,2.84,22.16,22.16,0,0
"Stony Brook",5.64,26.2,82.25,19.65,2.79,25.38,25.38,0,0
"Tarleton St",5.63,24.16,82.59,17.26,2.9,16.25,16.25,0,0
"Gardner Webb",5.62,26.49,85.3,16.89,2.77,25.36,25.36,0,0
"Delaware",5.62,25.16,84.05,16.8,2.87,24.36,24.36,0,0
"New Mexico",5.62,25.27,84.76,16.2,2.82,29.94,29.94,0,0
"Mt St Mary's",5.62,25.66,78.57,22.78,2.8,24.17,24.17,0,0
"Lafayette",5.61,24.3,89.58,10.42,2.79,22.95,22.95,0,0
"Stetson",5.61,24.7,85.3,15.09,2.84,23.32,23.32,0,0
"William & Mary",5.6,23.04,83.29,15.44,2.65,28.6,28.6,0,0
"New Hampshire",5.59,24.16,82.5,17.36,2.71,23.11,23.11,0,0
"Marist",5.59,23.05,79.4,19.35,2.81,24.26,24.26,0,0
"Niagara",5.59,24.76,83.01,17.44,2.84,25.9,25.9,0,0
"CS Northridge",5.59,22.44,88.46,9.67,2.82,28.51,28.51,0,0
"Jackson St",5.58,23.46,80.98,18.17,2.91,21.65,21.65,0,0
"Loyola MD",5.58,26.51,86.69,15.51,2.76,25.63,25.63,0,0
"Wagner",5.58,23.13,84.15,14.67,2.74,23.09,23.09,0,0
"CS Fullerton",5.57,24.89,91.16,9.42,2.79,26,26,0,0
"Portland St",5.57,25.53,84.09,17.14,2.71,23.19,23.19,0,0
"Boston Univ",5.55,24.63,84.11,16.21,2.58,26.78,26.78,0,0
"Radford",5.55,24.06,81.3,18.46,2.59,22.31,22.31,0,0
"Youngstown St",5.55,23.92,86.58,13.03,2.81,20.8,20.8,0,0
"UC San Diego",5.54,23.25,87.13,11.82,2.88,24.84,24.84,0,0
"American Univ",5.54,23.15,85.16,13.68,2.81,27.03,27.03,0,0
"G Washington",5.54,24.87,84.86,15.7,2.83,28.47,28.47,0,0
"FL Gulf Coast",5.53,23.79,83.86,15.62,2.8,21.19,21.19,0,0
"North Alabama",5.48,23.25,85.88,13.07,2.92,20.02,20.02,0,0
"Florida Intl",5.47,23.84,88.19,11.35,2.78,24.82,24.82,0,0
"UNC Wilmington",5.46,24.16,87.7,12.15,2.81,22.9,22.9,0,0
"Troy",5.46,22.43,82.18,15.94,2.86,25.86,25.86,0,0
"IUPUI",5.45,21.53,85.83,11.39,2.77,26.32,26.32,0,0
"IL Chicago",5.45,22.82,82.26,16.26,2.87,26.42,26.42,0,0
"Morgan St",5.44,23.54,88.15,11.09,2.7,17.89,17.89,0,0
"UTRGV",5.44,24.04,84.61,15.12,2.9,19.56,19.56,0,0
"WI Green Bay",5.43,24.36,88.43,11.62,2.77,27.87,27.87,0,0
"Northern Arizona",5.43,22.87,82.33,16.24,2.64,31.11,31.11,0,0
"C Michigan",5.38,23.61,90.16,19.15,2.76,25.93,25.93,0,0
"ULM",5.38,23.57,81.91,17.36,2.76,27.44,27.44,0,0
"Samford",5.37,22.54,89.55,8.68,2.82,26.07,26.07,0,0
"Fairfield",5.37,22.37,79.01,19.06,2.69,25.99,25.99,0,0
"Bucknell",5.36,23.19,88.59,10.29,2.74,24.3,24.3,0,0
"NJIT",5.36,22.32,83.41,14.6,2.72,26.28,26.28,0,0
"UNC Asheville",5.36,22.27,86.65,11.32,2.76,23.88,23.88,0,0
"Quinnipiac",5.35,23.14,84.09,14.74,2.94,24.13,24.13,0,0
"W Michigan",5.35,22.63,81.28,17.05,2.75,29.58,29.58,0,0
"SE Missouri St",5.33,21.86,83.47,14.09,2.79,25.4,25.4,0,0
"MTSU",5.33,22.51,82.15,16.05,2.85,29.65,29.65,0,0
"E Michigan",5.33,22.24,83.86,14.07,2.83,25.79,25.79,0,0
"PFW",5.33,22.83,89.13,9.4,2.79,25.23,25.23,0,0
"North Florida",5.32,22.81,86.24,12.26,2.77,26.29,26.29,0,0
"Jacksonville",5.31,21.81,81.82,15.68,2.89,23.03,23.03,0,0
"LIU Brooklyn",5.28,22.11,86.88,10.92,2.73,22.07,22.07,0,0
"NC A&T",5.28,21.55,84.95,12.29,2.88,21.49,21.49,0,0
"Longwood",5.28,22.7,81.19,17.21,2.83,23.95,23.95,0,0
"Air Force",5.28,21.78,80.16,17.31,2.71,33.01,33.01,0,0
"Towson",5.26,22.84,84.34,14.19,2.8,28.45,28.45,0,0
"Fordham",5.26,21.49,74.19,22.99,2.73,32.81,32.81,0,0
